ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
14,$130-140k,2014,2014,TRUE,TRUE,70336,6485.497078,693,New York,04000US36,,0.007891085
9,$80-90k,2014,2014,TRUE,TRUE,4560929,51576.56572,45526,United States,01000US,united-states,0.032386291
6,$50-60k,2014,2014,TRUE,TRUE,735844,20172.40091,7285,New York,04000US36,,0.082555268
12,$110-120k,2014,2014,TRUE,TRUE,1460431,29515.6025,14771,United States,01000US,united-states,0.010370243
15,$140-150k,2014,2014,TRUE,TRUE,53923,5683.869768,495,New York,04000US36,,0.00604969
21,$200k+,2014,2014,TRUE,TRUE,2762472,40403.76674,29211,United States,01000US,united-states,0.019615789
16,$150-160k,2014,2014,TRUE,TRUE,997029,24427.88382,10147,United States,01000US,united-states,0.007079714
7,$60-70k,2014,2014,TRUE,TRUE,575108,18008.03104,5611,New York,04000US36,,0.064522093
16,$150-160k,2014,2014,TRUE,TRUE,80863,6949.774396,770,New York,04000US36,,0.009072122
7,$60-70k,2014,2014,TRUE,TRUE,8509041,69419.53462,83840,United States,01000US,united-states,0.060421085
2,$10-20k,2014,2014,TRUE,TRUE,21216573,104220.8186,188960,United States,01000US,united-states,0.150654858
1,< $10K,2014,2014,TRUE,TRUE,19175353,99922.42406,183307,United States,01000US,united-states,0.136160542
17,$160-170k,2014,2014,TRUE,TRUE,35916,4643.462965,340,New York,04000US36,,0.004029461
8,$70-80k,2014,2014,TRUE,TRUE,444023,15947.09063,4390,New York,04000US36,,0.049815501
17,$160-170k,2014,2014,TRUE,TRUE,458890,16604.29069,4732,United States,01000US,united-states,0.003258491
13,$120-130k,2014,2014,TRUE,TRUE,1775893,32510.78509,17990,United States,01000US,united-states,0.012610279
18,$170-180k,2014,2014,TRUE,TRUE,29904,4238.475273,306,New York,04000US36,,0.003354968
10,$90-100k,2014,2014,TRUE,TRUE,3142806,43036.07892,31683,United States,01000US,united-states,0.022316469
9,$80-90k,2014,2014,TRUE,TRUE,369575,14612.70015,3532,New York,04000US36,,0.041463086
2,$10-20k,2014,2014,TRUE,TRUE,1238956,25357.37341,11302,New York,04000US36,,0.139000039
19,$180-190k,2014,2014,TRUE,TRUE,27826,4089.038419,288,New York,04000US36,,0.003121834
6,$50-60k,2014,2014,TRUE,TRUE,11150671,78670.68195,109822,United States,01000US,united-states,0.079178798
18,$170-180k,2014,2014,TRUE,TRUE,374783,15010.18497,3909,United States,01000US,united-states,0.002661263
10,$90-100k,2014,2014,TRUE,TRUE,231120,11649.0011,2282,New York,04000US36,,0.025929645
20,$190-200k,2014,2014,TRUE,TRUE,15565,3060.340818,153,New York,04000US36,,0.001746257
8,$70-80k,2014,2014,TRUE,TRUE,6082701,59229.132,60286,United States,01000US,united-states,0.043192105
3,$20-30k,2014,2014,TRUE,TRUE,1188829,24920.0984,10855,New York,04000US36,,0.133376228
14,$130-140k,2014,2014,TRUE,TRUE,956819,23933.66896,9807,United States,01000US,united-states,0.00679419
21,$200k+,2014,2014,TRUE,TRUE,277208,12723.8062,2631,New York,04000US36,,0.031100316
11,$100-110k,2014,2014,TRUE,TRUE,262121,12383.51945,2569,New York,04000US36,,0.029407686
3,$20-30k,2014,2014,TRUE,TRUE,20932980,103644.5866,189492,United States,01000US,united-states,0.148641118
1,< $10K,2014,2014,TRUE,TRUE,1096715,24077.4831,11232,New York,04000US36,,0.123041842
